user_id,follower_count,date_last_read
2205812431,360,1428716189598068738
1120522663414456320,8450,1436710371558150144
90752439,56901,1436320797400969231
1243184378219573249,29806,1.4360473399999652e+18
1260552306782810112,41530,1436495564783423534
1360396375503085568,299,1436402061063643137
1250910531956944901,3899,1.4316430324037304e+18
1581832626,6176,1418623816448856071
928254089829416961,8192,1.43566331095595e+18
714652313546203138,27734,1.435011410212262e+18
1334660092994723840,65331,1.4363269038001152e+18
83150642,61632,1433483655058366468
22453225,11554,1.43645016309094e+18
1359274864452976651,25,1.4353681069148897e+18
21764428,78414,1436726169001504771
1344073018797129728,13413,1436421261098426379
1359164500918882307,2434,1.4360068674324603e+18
1123311962924945408,60833,1435962744843419653
756119882861862912,36267,1436413114388520968
1317522853990965256,24,1.4127954757581005e+18
707591056599228417,25162,1.4360627560426455e+18
888225282334871553,285165,1.4360282749880975e+18
1265655689935896577,70872,1.436063949699502e+18
89517375,215145,1436463508523294745
1242215138402480130,4157,1.435944265197228e+18
373620043,445847,1436511256601579525
946470689367842816,175278,1433795120193630210
1047325862675324928,70364,1436404289765773338
1269718124045221891,18728,1.4359295929053102e+18
1367953835969245185,510,1.4353314973098476e+18
1349687526735409156,21138,1.413168184186839e+18
1282418324228337665,850389,1.4357912376767365e+18
1111006576461017089,28428,1.4360370503277158e+18
2342334844,77323,1436415062416179201
1280125268007493632,90138,1436431040051093552
4312114277,5599,1436504371790073859
52166809,291610,1436401733891018754
1327660593684340744,72,1.380295737737642e+18
815485842382733312,395,
1884013189,62750,1436534356659478534
1142472254514589696,111,1419660724566073348
1306295941759217666,61,1.429154409737597e+18
1266076107306151936,20727,1436420464205774852
24070568,107,1413985274896527361
1294423302744813568,2,
1241493087588941825,7156,1.4360624377327575e+18
1291412594939625479,250,1.4330941819211735e+18
112872946,52122,1436317693376966667
34582316,17925,1436464264953438238
1154074304348246016,4848,1436497035121680384
104695654,12347,1430373762642370564
1235654964720041990,27958,1.4356745593619948e+18
1262614671397445633,4141,1.4353967883624366e+18
892072054148796416,153899,1420724752377860098
271045715,113651,1435085690786795526
943883051989221376,91589,1436333937094057988
3038254299,27260,1436463283666657316
3229256723,22821,1339329327796801541
1256179655767400448,2059,1418592118604447749
1118235493030866944,216979,1436432625888075783
1277564927562170368,560,1430574081645195269
1157733371449171968,2711,1429207362724941831
1242932824467963911,16513,1.4356965877751685e+18
189788477,29598,1436534511152603137
1014711084836642818,125,1.3577067651404472e+18
1234721726593765376,3568,1436347112296357891
718886809816735744,185,1436407004474531845
565969885,52443,1.436423464085123e+18
23059499,170698,1436717522238140423
831723043,156477,1436415426070728710
81157050,119414,1433879329251938308
138404716,94304,1.4364474614433464e+18
602193458,7487,1426244380541788166
971162498102710272,3703,1428419334007922692
197478610,7371,
1259555533952032768,141,1404840218897883148
1113201035173036032,14342,1435962369306419202
866280102459564032,198,1.4305722875440865e+18
2976727463,17654,1436346636826030083
26504905,13803,1433814913609261059
11247222,297002,1436713653185744898
97561587,9311,1435945782201487364
40300931,23344,1436412894929903618
2897386131,27396,
758386485846544384,168053,1436444949042679816
1153696034654248962,20709,1.4359530741624422e+18
2222635612,37649,1436334137263239175
253617897,1024,1430616598843256834
2228460174,6042,1436385751537684482
4224604276,99,1436461656041824258
2264053464,6830,1436006545364594698
916787510822436864,74878,1436695463718232065
949496605576716288,13203,1436425751394328578
971414806933770241,7666,1.4356621345836974e+18
125686737,5627,1436642804470587393
41458395,47205,1.4364017571192013e+18
20800915,42940,
2911130432,38500,1435296153440903175
1164114986186227712,52797,1436409046383398913
957781891788296192,8656,1436170072981008393
1154199013173936129,1620,1.4334090677546598e+18
761370249329377280,6126,1.4363374004778516e+18
942774951672729600,26293,1.4230238662601646e+18
14886375,866123,1435648745589329931
1599911502,41495,1436200576522481666
1128728860848152581,515,1.4329423993077432e+18
958760331802705920,5379,1436424616080203778
43775786,2427187,1436016598108807172
818958375216152576,40291,1436379616101474307
1661029645,24521,1436436854195331080
2486504240,45635,1436335694335647744
55561590,124579,1.4364423420310733e+18
855295030369542144,10866,1436521758249525254
958087450274000896,41664,1436444658629070850
203652149,345910,1436357692814249997
389474167,55103,1436325834638385163
811622157516029955,45427,1.435852760377856e+18
1178820912751267840,1942,1436407284108759042
876471020420448257,4892,1.4354083903316623e+18
1159930177696219136,48,1432762905825513475
916131323395395585,27461,1.4356552195394806e+18
985912937696014337,64448,1.4358266886262374e+18
2541246373,13274,1436459321374625795
1335636217027694593,4456,1.4359395243838054e+18
1319540410616864769,5376,1.435839687457968e+18
1281254559755747328,10153,1436726077880217609
102527566,49655,1436421020131360772
1289823541098143744,66380,1436336209257803783
1240876822981685249,53130,1.4359519008144548e+18
1313686024741158912,32910,1436725488706330624
1348662936865288192,5617,1433517789394919425
2290432441,5310,1420786214026858498
1240592960795938816,11686,1435246130284142595
1134049078424162304,12049,1436721506143326209
1073430565020450817,10708,1.4319964785375846e+18
1180701690,17987,1.436435344346567e+18
1283972486883876864,37430,1436493114752045082
570754937,44507,1436050879862362121
872519322077470721,43997,1.435707602516775e+18
1435811695,451997,6.891004443884544e+17
23491081,230,1.2802538014258913e+18
44622184,19631,1433820290757414915
1311093242,201,
71453756,217,370680916785758209
57680359,1373,1422970813968494594
74489330,14711,1425256796290179076
7823142,3736,1415393293249220611
1060938846102122496,1784,1436106008527527937
40938160,65028,1435964384510099461
1069371457531047936,3192,
1018324467758465024,52336,1436421675302723603
1216173472310878208,1264,1395023583882133507
3308210484,13946,1433976563121360901
14051297,3071,1432759867928948740
15130891,45811,1436352250335666180
2459969490,89,
712645338,28073,1431431759523155971
1070540999523471361,87,1.237446819598254e+18
936088906000412672,2130,1.29555705416226e+18
2578293891,320,
1545610710,486,1436711865242066945
1332024445414887426,4675,1.434888427808383e+18
876388932,10212,
188369814,112296,1429641336299442179
1258611936511614978,4745,
876045524939485184,29556,1436405107017519131
69803348,15602,1436727381528612877
208576658,2313,1428444818947022849
1272990687743676419,62,1.4022984985660006e+18
1059494816554381313,4583,
787439438964068352,81550,1435691905422184453
54248795,1111,1436331788008185857
2776090481,8143,7.506631771977155e+17
1016148108319887360,1503,1435770363934216194
18557769,10601,1436503728375439362
1245111122186960903,25361,1.4356868637513236e+18
1136045357434056704,356,1.4364103548091187e+18
1262545505772584962,15859,1.295548116482044e+18
1127579331172216832,222,1429561584951701510
858063372583088128,815,1435991565542035458
1281308991759532037,681,1.4098683487252849e+18
996594106875949056,535,1436447411858247686
4627333400,7390,1436461945641738247
939572568457170944,7,1186693115182243841
1104876591774134272,21058,1435695872445124611
2719861582,16,
706723368939065344,19760,1436303862093258754
448894687,15958,1436347195960274946
170562844,11578,1436506563045298180
1263205698,27149,1436677942696873985
983655260,22943,1.4364198549327217e+18
3410575617,93217,1436722542698508292
2806294664,44139,1145432465923813377
993886827353427970,407,1.4356130911280415e+18
849754941807890432,40595,1436364229490233374
31546412,63908,1436027605950472220
770583695652560896,55947,1414965905625423875
1170831448082984960,55213,1436703887617036295
1263131199238627328,13,1436337668540014595
275288972,25416,1425437928323432451
1098680691720515585,20562,1.4331668598394102e+18
1289274229523910657,1303,1.4288543893060198e+18
1234705779237801985,18894,1.4247587679802655e+18
136136326,241862,1436652211925307400
1260401180171067392,17683,1436548060084006922
1271899909675859968,34376,1436431989012238338
1271593087802896384,41626,1436437131770011649
1260009279563554817,19278,1.433128661624918e+18
1028704054317408261,26164,1.433805481240318e+18
1580637560,27469,1436348609189011485
1168301130939621377,1774,1.4356219336646738e+18
1338306457511600130,6287,1.4357781795291668e+18
1352342677661118465,49,1.433141095882498e+18
1244302910990594049,5430,1.435737821818491e+18
1341959232405565443,46,1.4357344224274186e+18
1371616021430296576,26,1394986104160460805
817007725666242561,62022,1.4359530465808753e+18
926795242384297985,7068,1.4354232513128817e+18
1244192860674625536,918,1429680005374689282
1359180271262855168,77,1406988980743200775
943641207707701248,11063,1.4356230792045036e+18
1193455044,851,1436412358214172675
44366481,32348,1436379289650438144
1191169855044694016,1258,1436407712057753602
1357096519388852225,50,1.4353658894870282e+18
932630991298007041,97742,1.4356174909571113e+18
14983508,118011,1435970158972088324
1284705705778393089,1383,1.4204601179428372e+18
1295125041001172992,3646,1436680823844052993
1036300380458631169,3767,1.4352463723374633e+18
1280269921574948866,5356,1.435945551107969e+18
1288489488889643009,231,1.4356446432454984e+18
704770086075277312,15732,1436721390888046594
1283645233427673090,3391,1.4281154303972516e+18
1276308642883604481,30191,1.4357493637882716e+18
1293770572938313729,30405,
1695293845,5118,1436048378752913409
1022155248197140481,4993,1.433856865948115e+18
1272539357153501185,8129,1.4350393454304338e+18
47247213,46411,1436723868161527815
1103414363212398593,3156,
1259338304706809856,3524,1385664941110308866
1242659529508171778,282,1.4305592687014093e+18
954321334217056256,4293,1436548767654637573
2756017625,991,1242960507700752386
1265723184202031105,774,1.411059701622657e+18
274233761,39252,1436171290046570498
2470475939,2209,1436398533582721028
1279388084459757569,44,1.3345734816027894e+18
716299633786421248,152,1396550110675275778
1257075990200758277,6295,1.4357729528810086e+18
166597717,24668,1436442008499982337
943104944504233984,190,1354569556963061763
1026881203893415936,1742,1435427905505533954
72636770,13636,1436418699121074191
1038525770421993475,11522,1.4359347912333765e+18
99737856,11130,1436422123216642069
820443157938786305,6299,
237591901,32182,1126532187480821761
3441912856,2060,1344240469740544001
966139276235825152,3548,1436352096022978562
1111718590036828161,12184,1.4356209639709204e+18
1062074042969137152,2362,1436101382927437834
147902687,6161,1436417842455400452
573095099,8150,1435611393269669889
3398295268,8679,1436361433118298112
3124099835,1474,1436347499522973699
787881708364398592,5070,1436112560613466115
732206149567692800,598,1324490191109840897
3837862277,929,1431843371488739330
458989076,12018,1436416775097360401
586734515,15901,1435614382554222602
950942636818432006,5834,1.2811712357374405e+18
726577227446497281,2355,1.3575044573077832e+18
864584576,4181,1436389169350291464
448077183,1447,1436441455317471238
814193140840222720,351,1435246100399730694
37040959,11296,1436100019380178945
19717430,26435,1436361955606925320
498166332,31955,1.4363919015072932e+18
3432211203,9200,1433755124694978561
43475268,15898,1436267142417207301
875407999141007360,1685,1436360922763771905
51912109,33425,1436678224692527104
2334614718,70683,1436421824645111832
1074332839179563008,19617,1436500611717996546
62871181,12194,1.4364094877583442e+18
259471396,6184,1435927723936034817
1041050238,4476,1436699264449662976
20382026,7835,1.4363821695810355e+18
56121651,24422,1436448377911320579
66746952,56827,1400970747862990851
632341632,81213,1429782996513697797
40099128,18405,1433842170742640643
229966745,15539,1436336917453459458
2927960383,1962,6.375097658711081e+17
777500854970494976,461,
972420430542835712,246,1014877938771288065
121158213,149303,1436724244939894784
712857134086680577,1226,1.4335257240869478e+18
808434164701818881,1520,1.4355129939121807e+18
2186813068,13501,1391805264278474757
1394399438,6171503,1427622496862449671
1180119209642254338,561,1.428448789463978e+18
17984662,5558,1.4352457748714086e+18
400251392,23901,1.3131610524698337e+18
767561346275799045,14257,1.4190650397896458e+18
1088823659492491266,4237,1.435608308120007e+18
132703700,110982,1430175596328390673
20449296,187210,1436498589195309056
297848618,13207,1436370095614267397
1122860091957555200,139,
4857170249,52128,1436394442940878874
979704805051588608,3837,1408075636644667393
1084023380548956161,6820,1.4359471151428608e+18
968852728314257408,650,1396811873417302017
4706746513,21296,1436482219514548226
887748030304329728,343313,1436699145117388800
16726035,104768,1435988870928216066
58613100,809,1.4350147772318474e+18
